driverId,name,ssn,location,certified,wage-plan
10,George Weaver,260-27-3482,"812 Perez Unions
Gonzalestown, OH 31963",Y,hours
11,Raymond Reyes,385-91-7008,"02924 Patterson Walks Apt. 967
Mossburgh, IA 33809",Y,miles
12,Pedro Snyder,600-52-7677,"PSC 2962, Box 0260
APO AA 90170",N,hours
13,Timothy Page,563-29-9209,"033 Moss View Apt. 651
Williamstown, GA 48893",N,hours
14,Stephanie Nelson,464-14-3725,"776 Kevin Corners
Ericton, SC 75973",N,hours
15,Timothy Garcia,191-10-4706,"69755 Moore Center Apt. 868
North Evan, ME 01930",N,hours
16,Zachary Blake,677-42-8395,"01069 Gregory Village Suite 151
New Daniel, NH 75708",N,miles
17,Susan Hernandez,881-90-3502,"8226 Rodriguez Falls
Lake Jaredburgh, ND 78411",N,miles
18,Jacqueline Lopez,275-38-6381,"711 Young Valley
Craigmouth, VI 54736",N,miles
19,Rebecca Jenkins,506-83-0962,"300 Heather Prairie
South Julie, AS 55605",Y,miles
20,Craig Dunn,813-10-4008,"764 Robles Alley
West Davidton, IL 41788",N,hours
21,Elijah Henry,546-22-6270,"95886 Nicholson Wells Apt. 399
Lindaview, DC 97377",N,miles
22,Erin Sandoval,393-29-1753,"Unit 1230 Box 9708
DPO AP 63235",N,hours
23,Barbara Robinson,435-27-4679,"8980 Dickerson Course
South Michaelport, SD 16605",N,miles
24,Michelle Jones,190-05-0679,"8104 Wendy Stravenue
Snydershire, HI 94119",N,miles
25,Katherine Ramos,644-58-1130,"700 Mary Meadows Suite 541
Valeriestad, MP 22240",N,hours
26,Jacob Harrell,679-47-9217,"619 Jensen Rapid
Zacharychester, CO 31883",N,hours
27,Nicholas Dickerson,591-89-7811,"46546 Strickland Tunnel
Davisville, DE 49788",N,miles
28,Wendy Perez,518-05-5143,"1483 Jennifer Estate Apt. 943
Morriston, ND 26801",N,miles
29,Yolanda Ferguson,054-12-5705,"430 Tanya Valley
Michaelshire, NH 94415",N,hours
30,Logan Boyd,716-51-7034,"11789 Ruiz Ports Apt. 876
Lake Davidport, AS 43915",Y,miles
31,Mathew Johnson,676-53-6400,"687 Ramsey Station Apt. 108
East Brianton, IL 14511",Y,miles
32,Jennifer Martin,862-64-8025,"037 Cunningham Landing
East James, WY 48372",N,miles
33,Benjamin Maynard,304-59-0686,"119 Ashley Hill Apt. 122
Smithburgh, ND 24890",N,miles
